city,family,species,coll.-no.,Age,hfl,hct,hcl,hpt,hpl,hdt,hdl,rfl,rpt,rpl,rdt,rdl,mc7fl,mc7pt,mc7pl,mc7dt,mc7dl,ffl,fct,fcl,fpt,fpl,fdt,fdl,tfl,tpt,tpl,tdt,tdl,mt7fl,mt7pt,mt7pl,mt7dt,mt7dl
Tü,Cervidae,Cervus elaphus,Mamm 344,,205.08,44.09,39.95,57.10,65.03,47.03,45.85,250.46,46.14,25.52,42.65,30.99,240.74,33.87,24.75,36.01,23.66,260.25,31.24,29.29,68.23,31.94,58.61,76.71,312.00,62.80,39.75,37.84,33.08,272.24,31.02,32.10,36.33,24.12
Tü,Cervidae,Cervus elaphus,Mamm 335,,228.08,52.26,47.67,68.38,77.13,53.56,52.34,264.74,51.42,28.62,47.93,35.77,249.52,38.87,28.36,40.06,24.96,277.33,33.97,32.44,79.30,37.32,64.76,83.20,327.45,69.37,46.56,44.56,37.59,271.54,34.56,35.90,39.92,23.76
S,Cervidae,Cervus elaphus,2962,,239.06,52.27,48.70,66.59,75.47,50.58,50.62,275.65,49.38,28.45,44.75,30.80,249.21,37.74,26.14,40.00,25.86,298.04,32.68,32.81,81.31,33.55,68.12,88.53,341.05,70.03,47.63,42.56,37.81,279.05,32.63,35.55,40.21,26.22
S,Cervidae,Cervus elaphus,7310,,253.67,56.57,51.47,83.57,90.41,57.98,61.55,304.11,56.47,33.06,55.20,37.71,273.06,42.69,29.10,45.71,31.15,322.10,38.12,37.91,90.82,43.71,69.06,98.56,374.55,80.12,52.84,49.26,41.85,300.44,38.24,41.52,46.34,30.95
F,Cervidae,Cervus nippon,SMF 4368,,174.87,,,,,35.72,33.59,190.08,36.35,18.41,,,185.81,26.47,19.96,26.63,18.24,223.71,,,,,,,258.87,52.46,,,,211.75,24.67,26.14,26.95,19.05
M,Cervidae,Cervus nippon dybowski,15,,185.12,,,,,40.47,39.87,215.31,38.22,21.88,,,207.80,29.76,22.78,31.57,21.63,245.15,,,,,,,283.99,63.21,,,,230.18,29.05,29.13,31.32,22.96
M,Cervidae,Cervus nippon dybowski,5,,215.15,,,,,47.46,46.72,241.04,44.46,26.96,,,228.48,36.24,27.19,36.99,24.24,282.63,,,,,,,317.38,73.22,,,,248.42,33.79,34.34,36.51,25.53
F,Cervidae,Cervus nippon hortulorum,SMF 79844,,184.89,,,,,39.76,36.42,210.47,38.55,20.17,,,207.89,30.02,21.61,28.26,19.67,242.16,,,,,,,274.73,56.72,,,,229.96,28.51,28.33,29.06,21.03
F,Cervidae,Cervus timorensis,SMF 38487,,162.69,,,,,36.17,33.25,164.04,34.07,18.24,,,147.93,27.02,18.98,26.40,17.38,218.64,,,,,,,231.16,51.71,,,,161.95,24.21,24.42,26.05,18.64
S,Cervidae,Dama dama,16892,,156.77,37.61,33.90,46.62,53.05,33.28,33.44,181.68,33.20,19.07,30.85,21.21,178.32,26.58,18.08,26.99,17.54,217.55,28.29,26.02,57.11,29.80,45.38,62.98,242.56,52.95,33.08,29.76,24.86,200.12,24.31,26.60,28.64,18.34
Tü,Cervidae,Dama dama mesopotamica,SZ 9759,,199.87,48.64,42.56,62.26,65.84,50.44,41.63,228.69,42.95,25.87,44.08,31.02,215.21,34.37,25.45,33.02,22.23,265.59,33.56,33.90,75.11,34.94,61.95,77.91,293.45,65.51,41.82,38.38,34.66,238.51,34.08,34.60,34.35,23.04
Tü,Cervidae,Dama dama mesopotamica,SZ 6765,juvenile,102.44,20.81,14.94,22.16,28.94,26.47,22.41,115.33,23.04,15.74,26.42,18.18,132.31,22.36,17.26,21.23,13.25,123.84,15.92,13.72,29.40,18.99,34.30,39.21,154.86,37.54,23.81,26.57,21.62,142.97,21.80,16.69,23.09,14.54
M,Cervidae,Elaphurus davidianus,5,,225.64,,,,,56.22,54.14,248.36,49.61,29.93,,,237.97,39.85,25.63,42.66,28.37,300.36,,,,,,,317.14,76.65,,,,258.95,39.38,37.27,44.29,29.83
M,Cervidae,Elaphurus davidianus,6,,237.55,,,,,64.07,56.50,261.62,54.10,31.90,,,248.78,42.95,27.34,45.38,29.57,318.79,,,,,,,324.79,84.19,,,,267.75,44.76,39.82,47.39,32.28
M,Cervidae,Hydropotes inermis,4,,108.64,,,,,23.15,21.35,119.81,20.41,12.75,,,119.96,17.99,12.32,17.25,11.58,155.50,,,,,,,182.49,32.77,,,,134.23,17.82,17.49,19.49,13.03
S,Cervidae,Mazama gouazoubira,32121,,126.47,23.42,21.49,29.53,33.23,21.82,21.95,128.08,21.50,12.78,20.15,14.20,109.94,17.09,11.84,16.45,10.54,165.15,16.42,16.21,36.64,17.74,32.95,42.85,186.34,35.81,22.22,21.57,17.53,141.31,17.31,17.90,18.26,12.48
M,Cervidae,Muntiacus reeversi,15,,93.97,,,,,19.24,15.55,88.35,16.32,9.56,,,71.24,13.38,9.57,12.96,8.29,128.89,,,,,,,133.34,26.35,,,,93.57,13.28,13.67,13.59,9.23
M,Cervidae,Odocoileus bezoarticus,1,,141.15,,,,,28.10,26.14,164.35,25.68,15.39,,,154.09,20.35,14.57,21.14,13.47,193.24,,,,,,,217.69,41.25,,,,172.19,19.22,19.96,22.20,14.88
F,Cervidae,Pudu puda,SMF 29084,,101.07,,,,,20.90,15.33,81.48,16.53,10.02,,,55.83,13.52,9.21,14.57,8.21,126.32,,,,,,,127.31,28.09,,,,78.90,13.57,11.97,15.85,9.43
Tü,Cervidae,Rangifer tarandus,Mamm 331,,233.57,43.07,44.24,62.67,66.94,50.08,49.41,272.54,50.37,30.39,46.87,31.77,204.23,39.90,33.17,44.89,23.41,286.39,28.70,29.99,72.38,35.06,61.51,77.68,314.00,69.41,40.71,42.40,34.95,280.88,34.42,37.04,44.71,23.50
S,Cervidae,Rangifer tarandus,6907,,208.99,43.18,41.00,55.95,60.82,46.24,45.12,239.56,41.63,25.17,39.02,26.06,182.29,30.81,23.17,40.74,20.90,262.77,28.39,29.17,63.71,29.17,56.42,70.41,292.80,60.90,39.95,38.96,29.45,254.96,27.78,28.40,41.44,22.37
M,Cervidae,Rucervus duvauceli,13,,229.22,,,,,52.72,47.68,255.80,50.80,27.11,,,245.29,35.98,25.27,39.12,24.78,295.86,,,,,,,333.21,74.57,,,,265.90,34.60,33.85,38.89,25.87
M,Cervidae,Rucervus duvauceli,8,,256.56,,,,,60.81,55.21,278.89,51.06,29.41,,,261.30,40.80,30.10,39.96,27.25,339.41,,,,,,,351.25,84.79,,,,272.41,41.02,40.62,41.08,27.63
Tü,Giraffidae,Giraffa camelopardalis,SZ 3767,,431.00,95.80,85.04,143.26,159.73,127.39,96.92,702.65,123.01,60.59,122.73,82.07,611.55,91.24,62.21,86.86,58.76,490.85,78.52,65.64,160.93,70.10,131.80,178.25,524.15,140.99,90.00,101.27,68.20,642.85,80.87,76.75,77.18,53.19
S,Giraffidae,Giraffa camelopardalis,19138,,432.00,97.44,87.82,121.06,153.44,106.92,92.65,705.70,108.43,60.51,99.21,63.66,652.00,88.78,57.27,87.81,58.36,482.60,67.36,62.44,155.93,67.36,132.73,182.57,539.40,146.45,93.47,101.92,71.62,668.35,73.03,77.74,75.88,53.78
Tü,Tragulidae,Tragulus javanicus,Mamm 299,,63.92,10.38,9.42,13.07,16.11,10.61,8.74,58.12,8.87,7.29,8.13,6.87,38.87,7.65,5.89,8.61,4.91,78.66,8.28,7.86,14.97,8.18,14.41,17.55,94.58,15.24,11.79,10.52,7.74,59.25,8.38,8.27,9.92,4.86
S,Tragulidae,Tragulus javanicus,16874,,63.08,10.85,8.73,12.86,13.67,8.93,7.57,56.45,8.72,5.09,8.12,5.75,40.97,7.04,5.37,5.44,4.15,78.43,7.79,7.64,15.13,7.64,14.34,18.20,88.69,15.40,11.06,9.95,7.14,59.11,7.35,7.00,9.79,5.51
S,Tragulidae,Tragulus javanicus,16875,,64.82,10.27,9.10,11.86,14.45,10.28,7.38,58.72,8.17,5.55,8.08,5.90,41.37,6.65,5.27,6.18,3.83,80.23,7.63,7.73,15.57,7.73,15.94,18.35,91.95,15.58,11.09,9.59,7.03,63.13,7.59,6.07,8.89,5.41
S,Tragulidae,Tragulus javanicus,16876,,69.29,11.78,9.56,13.51,16.20,11.52,7.85,59.56,9.65,5.57,9.63,6.40,41.30,8.31,6.08,10.37,3.66,85.84,6.62,7.52,14.20,8.11,15.92,20.66,96.74,17.08,11.91,9.84,6.92,58.64,9.28,8.98,11.03,5.55
Tü,Tragulidae,Tragulus meminna,Mamm 288,,65.93,10.73,8.83,13.80,17.14,11.52,7.86,53.10,10.10,5.92,8.78,7.07,33.65,8.21,6.46,9.07,4.00,80.89,8.09,8.05,16.48,9.05,15.27,19.41,85.59,17.59,11.31,11.65,8.01,50.65,9.28,8.74,10.80,6.10
Tü,Elephantidae,Elephas maximus,Mamm 353,juvenile,746.25,120.91,149.12,179.65,205.80,210.96,143.41,586.70,93.60,52.70,92.22,120.64,154.82,60.77,70.73,67.76,57.30,917.60,124.42,120.60,248.25,120.60,173.49,168.04,534.95,163.09,118.38,142.52,106.93,113.14,44.53,59.07,54.39,51.50
Tü,Equidae,Equus burchelli,SZ 9761,,247.93,58.94,62.68,83.83,82.73,70.98,68.27,294.23,70.87,32.76,64.91,35.92,201.54,48.04,28.89,40.93,29.41,323.90,51.84,48.44,102.41,76.66,80.34,106.43,305.61,83.03,55.43,61.44,46.32,236.25,45.44,37.52,41.42,30.80
S,Equidae,Equus burchelli,6708,,244.33,57.12,58.40,85.62,84.95,73.30,73.42,281.85,70.80,36.38,61.23,34.04,206.88,49.47,30.95,45.37,31.85,333.15,58.40,52.13,108.52,87.44,89.52,108.28,305.73,96.08,59.00,67.05,47.77,231.18,49.92,39.88,45.95,34.30
S,Equidae,Equus burchelli,6709,,240.11,57.57,58.11,83.28,84.34,70.69,68.45,274.80,70.46,33.34,57.77,32.47,202.04,45.67,30.05,42.81,31.73,319.85,54.45,53.65,111.70,93.16,88.21,110.17,293.47,90.70,55.55,68.39,44.96,222.92,44.90,37.94,42.45,32.86
Tü,Equidae,Equus grevyi,SZ 6575,,276.75,67.35,64.90,103.75,96.02,84.46,80.64,339.50,88.78,40.66,83.08,49.08,242.02,54.25,36.22,48.32,34.49,365.20,59.91,58.66,121.41,93.51,97.77,127.40,340.40,102.15,72.59,73.08,58.15,277.62,52.70,49.48,50.22,36.59
Tü,Equidae,Equus onager,SZ 6467,,216.20,54.60,51.21,70.56,70.37,63.07,62.76,283.68,64.30,32.19,59.25,35.95,204.71,40.04,27.27,37.04,29.20,294.54,48.37,46.08,88.72,71.60,73.74,95.59,288.73,82.43,52.51,56.89,43.41,243.87,40.58,34.26,36.30,29.59
Tü,Equidae,Equus przewalskii,SZ 7298,,251.00,64.90,57.28,84.99,84.10,77.04,75.86,303.18,77.07,36.03,69.96,41.61,212.21,48.04,33.28,46.48,36.63,318.05,54.03,54.30,103.74,82.18,88.50,106.45,301.02,94.11,59.10,72.50,48.90,254.35,49.82,43.96,51.85,37.34
Tü,Equidae,Equus quagga,SZ 6550,juvenile,241.45,60.69,54.35,84.38,85.40,74.13,68.42,273.14,75.39,33.47,63.63,38.79,202.20,44.92,31.58,41.84,28.12,322.50,52.14,48.69,105.09,86.15,84.86,109.47,294.49,87.83,57.10,58.17,43.07,226.44,46.21,38.87,41.34,30.70
Tü,Procaviidae,Dendrohyrax dorsalis,SZ 4130,,76.93,12.61,14.66,16.78,20.93,19.09,9.81,56.05,9.95,6.06,8.67,7.74,19.78,6.07,6.34,6.09,4.59,78.17,10.58,11.19,20.48,11.23,19.84,16.57,81.01,19.48,13.07,14.06,7.33,22.75,6.13,6.21,6.73,5.16
S,Procaviidae,Dendrohyrax dorsalis,18042,,36.07,6.48,5.62,6.96,8.39,9.34,4.51,27.25,5.11,3.46,4.95,4.79,7.89,2.43,2.98,2.92,2.64,35.98,5.28,5.49,9.73,6.11,10.08,6.05,40.41,8.62,6.08,5.73,4.69,10.61,2.95,3.14,3.67,2.99
S,Procaviidae,Heterohyrax brucei,18010,,59.30,8.43,9.41,12.17,15.75,7.70,5.87,37.85,7.43,3.92,6.58,5.44,11.48,3.99,4.80,4.36,3.58,61.98,5.62,7.39,13.40,7.39,12.68,12.10,58.25,11.87,8.00,9.05,5.83,16.91,4.84,3.12,4.47,4.57
Tü,Procaviidae,Procavia capensis,Mamm 313,,74.29,10.49,10.43,15.43,18.51,11.6,7.42,48.16,8.43,4.94,9.03,6.24,14.9,4.49,3.68,5.16,3.00,75.85,7.63,8.7,17.28,8.7,14.56,12.88,71.22,14.37,10.05,10.64,6.36,18.84,5.21,3.68,5.63,3.00
S,Procaviidae,Procavia capensis,18044,,72.90,12.08,11.95,16.69,19.73,9.53,7.35,50.11,8.67,4.63,8.17,5.92,16.72,4.51,5.50,4.99,4.39,80.00,9.08,9.38,18.32,9.40,15.28,15.68,72.86,15.60,11.22,10.60,6.90,20.04,5.37,4.99,5.55,3.18
S,Procaviidae,Procavia capensis,32064,,47.27,7.32,7.74,11.36,12.65,10.11,6.19,29.41,6.24,3.33,5.85,3.75,11.86,3.24,4.32,3.86,2.92,46.36,5.62,7.00,10.53,7.00,11.64,9.04,48.93,11.36,7.41,6.93,4.98,14.53,4.30,4.11,4.38,2.86
S,Rhinocerotidae,Diceros bicornis,965 Rotpkt.,,350.60,79.96,81.78,142.44,143.71,99.57,96.45,327.75,94.37,52.33,68.22,45.85,159.89,57.01,47.34,48.38,39.67,427.90,76.78,75.06,171.77,79.19,108.20,150.29,289.71,104.36,93.91,76.70,62.08,142.51,45.41,44.23,44.34,32.76
S,Rhinocerotidae,Rhinoceros sondaicus,7559,,389.90,98.82,89.72,153.59,171.60,94.18,114.36,330.00,103.24,60.41,93.29,45.20,181.16,68.06,48.92,59.49,42.57,478.30,87.77,84.78,208.08,89.82,114.69,160.49,326.45,119.23,103.09,87.78,68.04,162.18,57.66,42.35,56.98,38.86
Tü,Rhinocerotidae,Rhinoceros unicornis,Mamm 370,juvenile,262.28,67.48,86.49,90.26,127.66,119.90,74.41,214.11,84.10,47.70,85.62,50.40,130.45,51.19,43.34,52.52,29.18,303.77,73.96,74.96,125.40,73.96,114.23,117.98,202.43,95.04,71.78,83.32,61.55,117.71,44.17,41.21,46.00,35.24
Tü,Tapiridae,Tapirus americanus,Mamm 350,,152.03,34.00,33.70,42.40,64.20,39.90,48.90,128.10,39.30,20.40,36.30,26.40,72.90,21.60,16.91,23.20,17.30,193.41,31.60,31.40,63.80,43.10,53.90,53.00,165.25,54.70,37.50,35.50,29.90,77.50,23.20,16.27,19.80,17.56
S,Tapiridae,Tapirus bairdii,7566,,238.24,50.04,45.01,70.95,91.05,61.41,63.28,212.51,58.43,32.27,44.65,30.88,116.32,31.53,25.03,27.53,23.85,307.75,45.07,44.01,96.90,61.17,68.94,95.27,233.79,75.16,54.42,40.50,30.96,119.06,30.21,30.42,28.31,22.60
S,Tapiridae,Tapirus pinchaque,26273,,237.37,51.17,41.33,74.02,88.94,57.44,57.57,196.28,50.08,25.57,44.40,25.77,123.21,29.52,21.14,27.17,19.68,260.68,39.83,38.81,80.46,45.81,72.00,83.46,235.51,71.04,48.34,38.93,34.35,118.70,28.05,25.59,27.76,20.60
S,Tapiridae,Tapirus pinchaque,32510,,247.85,59.27,41.64,76.55,91.89,58.86,53.04,211.72,52.99,25.61,54.73,32.48,114.15,32.60,22.86,27.19,21.53,312.30,43.87,43.20,85.95,47.58,66.47,89.70,256.48,73.31,48.41,43.27,35.45,115.82,29.38,26.70,27.79,22.55
S,Tapiridae,Tapirus terrestris,1913,,226.38,47.94,41.47,72.53,93.86,53.99,60.91,194.19,46.83,27.93,37.10,26.31,115.57,25.89,21.88,24.80,17.75,300.46,41.36,41.16,90.56,59.87,71.93,85.62,238.68,72.03,46.98,42.69,30.84,112.86,26.12,24.99,24.95,18.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
